datetime,discharge
2018-01-01,5584.270833333333
2018-01-02,5421.458333333333
2018-01-03,5302.1875
2018-01-04,5270.208333333333
2018-01-05,5597.8125
2018-01-06,6753.541666666667
2018-01-07,6661.25
2018-01-08,6251.145833333333
2018-01-09,6882.083333333333
2018-01-10,8372.395833333334
2018-01-11,9324.895833333334
2018-01-12,11703.125
2018-01-13,10679.270833333334
2018-01-14,9311.145833333334
2018-01-15,8527.8125
2018-01-16,9467.291666666666
2018-01-17,10772.916666666666
2018-01-18,12751.041666666666
2018-01-19,21028.125
2018-01-20,20017.708333333332
2018-01-21,17197.916666666668
2018-01-22,20428.125
2018-01-23,18497.916666666668
2018-01-24,19902.083333333332
2018-01-25,29159.375
2018-01-26,26293.75
2018-01-27,23462.5
2018-01-28,25086.458333333332
2018-01-29,23429.166666666668
2018-01-30,21617.708333333332
2018-01-31,20566.666666666668
2018-02-01,19086.458333333332
2018-02-02,17987.5
2018-02-03,18100.0
2018-02-04,18964.583333333332
2018-02-05,18998.958333333332
2018-02-06,17683.333333333332
2018-02-07,16001.041666666666
2018-02-08,14847.916666666666
2018-02-09,14196.875
2018-02-10,13525.0
2018-02-11,12622.916666666666
2018-02-12,11916.666666666666
2018-02-13,11164.583333333334
2018-02-14,10539.583333333334
2018-02-15,10042.8125
2018-02-16,9579.479166666666
2018-02-17,9219.166666666666
2018-02-18,9352.083333333334
2018-02-19,9412.395833333334
2018-02-20,8828.020833333334
2018-02-21,8427.5
2018-02-22,8326.25
2018-02-23,8195.625
2018-02-24,7974.375
2018-02-25,8057.5
2018-02-26,10007.395833333334
2018-02-27,9473.333333333334
2018-02-28,8743.020833333334
2018-03-01,11875.9375
2018-03-02,14647.916666666666
2018-03-03,13284.375
2018-03-04,12159.375
2018-03-05,11404.166666666666
2018-03-06,10850.0
2018-03-07,10689.583333333334
2018-03-08,11847.916666666666
2018-03-09,21190.625
2018-03-10,27236.458333333332
2018-03-11,22732.608695652172
2018-03-12,20416.666666666668
2018-03-13,22668.75
2018-03-14,30397.916666666668
2018-03-15,26335.416666666668
2018-03-16,25454.166666666668
2018-03-17,23684.375
