datetime,t2m,mer,mror,msmr,mtpr,sd,swvl1,sd_diff
2019-02-04,272.7392,-7.623459e-06,8.366006e-06,9.713307e-07,0.00016621134,0.03154263,0.3992697,0.00679636
2019-02-05,267.71854,-6.440388e-06,6.4224596e-06,5.846925e-08,2.9289471e-05,0.03387509,0.38661462,0.0023324601
2019-02-06,270.5135,-6.878176e-06,6.4930036e-06,5.732455e-07,1.5684074e-05,0.033067547,0.38060233,-0.00080754235
2019-02-07,268.4753,-4.773348e-06,6.430033e-06,4.9159775e-07,4.2674773e-07,0.03163609,0.37610942,-0.0014314577
2019-02-08,271.37494,-5.0729623e-06,6.45463e-06,5.691909e-07,9.944244e-06,0.031384908,0.3730071,-0.00025118142
2019-02-09,272.04233,-4.0633026e-06,6.488119e-06,5.875777e-07,0.0001604388,0.034499153,0.370151,0.0031142458
2019-02-10,267.2338,-5.908933e-06,6.1513556e-06,2.7480084e-07,3.296854e-05,0.038931623,0.36746198,0.0044324696
2019-02-11,270.7597,-5.353067e-06,6.3262582e-06,1.950592e-06,1.807333e-05,0.03893046,0.36519292,-1.1622906e-06
2019-02-12,273.3003,-6.4866354e-06,6.812721e-06,4.6460445e-06,2.2904336e-05,0.039409593,0.3646308,0.00047913194
2019-02-13,273.24118,-5.261694e-06,1.694519e-05,2.6110922e-05,0.00034055626,0.055066817,0.3671911,0.015657224
2019-02-14,275.50113,-1.0182046e-06,6.9312526e-05,0.00021291409,0.00024996093,0.06402951,0.40589285,0.008962691
2019-02-15,272.52264,-8.0469235e-06,8.067735e-06,6.504588e-06,0.00014579683,0.064976595,0.40936062,0.000947088
2019-02-16,271.59775,-6.0465227e-06,7.4636646e-06,3.1078596e-06,0.00011277836,0.07143591,0.39427668,0.006459318
2019-02-17,269.31293,-5.901034e-06,7.32619e-06,1.299394e-06,3.659871e-05,0.07316742,0.38681516,0.0017315075
2019-02-18,267.32303,-6.4365645e-06,7.443492e-06,1.2181589e-06,2.7367041e-06,0.071807146,0.38131884,-0.0013602749
2019-02-19,268.19504,-7.06401e-06,7.630296e-06,1.8065434e-06,9.0404605e-08,0.06677022,0.37655506,-0.0050369278
2019-02-20,272.02927,-6.865854e-06,8.334691e-06,4.3802397e-06,6.248244e-05,0.06568745,0.37373212,-0.0010827705
2019-02-21,269.3978,-8.566302e-06,7.48103e-06,7.484943e-07,1.2695612e-05,0.06430773,0.37131718,-0.0013797209
2019-02-22,267.4943,-8.9795585e-06,7.365859e-06,5.4021064e-07,5.227907e-08,0.062320944,0.36695316,-0.001986783
2019-02-23,271.65762,-5.2174773e-06,8.255068e-06,4.244099e-06,1.9784131e-05,0.05996446,0.36437055,-0.0023564845
2019-02-24,274.5677,-4.9317696e-06,1.6095928e-05,2.3769646e-05,0.0001308323,0.060886025,0.3694605,0.00092156604
2019-02-25,275.3958,-5.3059025e-06,4.4474145e-05,6.0155187e-05,0.00034432794,0.072035976,0.3802011,0.01114995
2019-02-26,274.05972,-2.3204373e-06,4.8001268e-05,5.4969205e-05,0.0002785448,0.084102675,0.38854808,0.0120667
2019-02-27,274.90997,-1.7372336e-06,0.00010216075,0.00014309758,0.00035938792,0.09497907,0.40611216,0.010876395
2019-02-28,273.35748,-1.0965249e-05,2.8988312e-05,1.939283e-05,5.4623266e-05,0.09459365,0.40508834,-0.00038541853
2019-03-01,272.95538,-8.110946e-06,2.1121516e-05,5.195996e-06,1.7190378e-05,0.09341938,0.3891626,-0.0011742711
2019-03-02,273.80942,-5.735768e-06,2.705811e-05,2.6905052e-05,3.9700357e-05,0.09112486,0.38774246,-0.002294518
